length,1048576,32,brute,13.696
length,1048576,32,std,6.228
length,1048576,32,avx2,5.405
length,1048576,32,treap,830.302
length,1048576,32,splay,679.486
length,1048576,32,sqrt,357.555
length,1048576,32,sqrt_bitset,276.545
length,1048576,32,sqrt_bitset2,479.943
length,1048576,64,brute,21.423
length,1048576,64,std,8.216
length,1048576,64,avx2,7.588
length,1048576,64,treap,813.434
length,1048576,64,splay,711.379
length,1048576,64,sqrt,374.590
length,1048576,64,sqrt_bitset,291.098
length,1048576,64,sqrt_bitset2,512.105
length,1048576,128,brute,35.455
length,1048576,128,std,11.946
length,1048576,128,avx2,12.475
length,1048576,128,treap,1071.956
length,1048576,128,splay,739.516
length,1048576,128,sqrt,418.360
length,1048576,128,sqrt_bitset,323.655
length,1048576,128,sqrt_bitset2,548.052
length,1048576,256,brute,65.251
length,1048576,256,std,22.388
length,1048576,256,avx2,22.440
length,1048576,256,treap,917.488
length,1048576,256,splay,842.958
length,1048576,256,sqrt,482.438
length,1048576,256,sqrt_bitset,390.268
length,1048576,256,sqrt_bitset2,623.687
length,1048576,512,brute,125.669
length,1048576,512,std,40.264
length,1048576,512,avx2,39.937
length,1048576,512,treap,1266.510
length,1048576,512,splay,901.906
length,1048576,512,sqrt,609.933
length,1048576,512,sqrt_bitset,492.893
length,1048576,512,sqrt_bitset2,677.971
length,1048576,1024,brute,238.111
length,1048576,1024,std,74.231
length,1048576,1024,avx2,74.866
length,1048576,1024,treap,965.225
length,1048576,1024,splay,826.485
length,1048576,1024,sqrt,965.056
length,1048576,1024,sqrt_bitset,762.931
length,1048576,1024,sqrt_bitset2,738.737
length,1048576,2048,brute,463.409
length,1048576,2048,std,143.650
length,1048576,2048,avx2,143.003
length,1048576,2048,treap,1002.377
length,1048576,2048,splay,943.584
length,1048576,2048,sqrt,1187.747
length,1048576,2048,sqrt_bitset,949.023
length,1048576,2048,sqrt_bitset2,854.236
length,1048576,4096,brute,947.385
length,1048576,4096,std,281.644
length,1048576,4096,avx2,281.653
length,1048576,4096,treap,1066.467
length,1048576,4096,splay,866.957
length,1048576,4096,sqrt,1149.290
length,1048576,4096,sqrt_bitset,957.065
length,1048576,4096,sqrt_bitset2,897.178
length,1048576,8192,brute,1839.275
length,1048576,8192,std,557.100
length,1048576,8192,avx2,571.271
length,1048576,8192,treap,1056.332
length,1048576,8192,splay,872.382
length,1048576,8192,sqrt,1167.687
length,1048576,8192,sqrt_bitset,948.429
length,1048576,8192,sqrt_bitset2,950.580
length,1048576,16384,brute,3643.677
length,1048576,16384,std,1117.804
length,1048576,16384,avx2,1120.547
length,1048576,16384,treap,1189.680
length,1048576,16384,splay,893.769
length,1048576,16384,sqrt,1154.448
length,1048576,16384,sqrt_bitset,951.277
length,1048576,16384,sqrt_bitset2,1002.902
length,1048576,32768,brute,7324.059
length,1048576,32768,std,2206.511
length,1048576,32768,avx2,2219.694
length,1048576,32768,treap,1269.923
length,1048576,32768,splay,909.011
length,1048576,32768,sqrt,1194.001
length,1048576,32768,sqrt_bitset,968.259
length,1048576,32768,sqrt_bitset2,1070.555
length,1048576,65536,brute,14557.785
length,1048576,65536,std,4393.195
length,1048576,65536,avx2,4445.985
length,1048576,65536,treap,1388.266
length,1048576,65536,splay,918.703
length,1048576,65536,sqrt,1240.404
length,1048576,65536,sqrt_bitset,986.837
length,1048576,65536,sqrt_bitset2,1211.093
length,1048576,131072,brute,29191.187
length,1048576,131072,std,8767.557
